id;left;top;right;bottom;row_index;col_index;field_1;PC1;PC2;PC3;PC4;PC5;PC6;typology;city;z_distance;q_cluster;lst_mean;solar_summ;solar_wint;pm10_mean;pm25_mean;no2_mean;noiseday_m;noisenight;bin_lst_me;bin_solar_;bin_sola_1;bin_pm10_m;bin_pm25_m;bin_no2_me;bin_noised;bin_noisen;City;Building height;Height varability;Sky view factor;Frontal area index;Water cover fraction;Impervious surface cover fraction;Building cover fraction;Pervious surface cover fraction;Aspect ratio;Intersections;Length N-S;Length NE-SW;Length SE-NW;Length E-W;Length primary road;Length highway;Length secondary road;Length railway;Neighbourhood type
36;2497723,99;1118389,101;2497973,99;1118139,101;10;1;1343;0,526054608;0,338479604;0,846050523;-1,420268171;-0,217505534;0,687111264;C;geneva;1,908846669;(1.48,2];-0,111053165;1,13021127;0,982143959;-1,361463922;-1,46403449;-1,538695914;-1,409763341;-1,450883116;(-0.699,-0.0567];(0.658,2.84];(0.529,3.4];(-2.17,-0.717];(-1.73,-0.731];(-2.33,-0.72];(-2.7,-0.657];(-2.55,-0.65];geneva;15,782626;5,289;0,644325939;0,118;0;0,62;0,164;0,216;0,391;17;112,14;420,48;83,42;561,1;0;0;1177,14;375,314;S-C
37;2497723,99;1118139,101;2497973,99;1117889,101;11;1;1344;0,851422833;0,674067164;0,542860292;0,984583835;-1,095372493;0,569432729;A;geneva;1,991854547;(1.48,2];-0,938424036;2,487576765;3,365156774;-1,704047703;-1,595467613;-2,022383286;-0,495671579;-0,757194205;(-2.4,-0.699];(0.658,2.84];(0.529,3.4];(-2.17,-0.717];(-1.73,-0.731];(-2.33,-0.72];(-0.657,0.0621];(-2.55,-0.65];geneva;17,53377629;8,032;0,529883328;0,21;0;0,605;0,197;0,198;0,382;17;267,99;412,77;336,3;412,39;520,689149;0;908,760851;0;S-C
38;2497723,99;1117889,101;2497973,99;1117639,101;12;1;1345;-0,752449253;0,148228136;-0,399778503;-0,586830986;0,619231745;0,894756698;I;geneva;1,508768511;(1.48,2];-0,203460436;0,316603406;0,189123908;-0,324336056;-0,225749701;-0,250165689;0,24797807;0,128686961;(-0.699,-0.0567];(-0.0457,0.658];(-0.31,0.529];(-0.717,-0.162];(-0.731,-0.152];(-0.72,-0.0796];(0.0621,0.737];(0.106,0.611];geneva;16,78613749;4,062;0,627288507;0,032;0,095;0,072;0,06;0,773;0,343;1;86,55;183,1;0;13,6;0;0;283,25;0;S-D
39;2497723,99;1117639,101;2497973,99;1117389,101;13;1;1346;1,066390232;-0,85829442;0,524694444;-0,644938516;0,65815626;0,105763715;I;geneva;1,734780394;(1.48,2];-1,18284347;-1,851830296;-1,670012165;-1,161430165;-0,534385922;-0,854209194;-0,072169859;-0,152906488;(-2.4,-0.699];(-2.51,-0.611];(-1.71,-0.722];(-2.17,-0.717];(-0.731,-0.152];(-2.33,-0.72];(-0.657,0.0621];(-0.65,0.106];geneva;7,398094577;4,715;0,637395237;0,005;0,262;0,147;0,004;0,587;0;0;0;0;0;0;0;0;0;0;S-D
40;2497723,99;1117389,101;2497973,99;1117139,101;14;1;1347;-0,433672551;-0,642511537;-0,056088585;-0,782327003;-0,879970658;-0,257382342;I;geneva;1,434108941;(0.312,1.48];1,315674622;0,750610933;0,710262838;-0,706487714;-0,378116906;-0,830912285;0,762563421;0,617922255;(0.716,2.72];(0.658,2.84];(0.529,3.4];(-0.717,-0.162];(-0.731,-0.152];(-2.33,-0.72];(0.737,2.34];(0.611,2.66];geneva;7,193355787;2,603;0,634065831;0,01;0;0,733;0,032;0,235;0;0;0;0;0;0;0;0;0;0;S-D
56;2497973,99;1119639,101;2498223,99;1119389,101;5;2;1348;0,252049829;1,236094517;-1,280019323;-1,278715713;1,548537182;1,575880285;G;geneva;3,121920593;(2.66,11.4];-0,424382955;1,683772508;1,695545877;-0,772466616;-0,845508612;-0,813964444;-1,163220757;-0,553599472;(-0.699,-0.0567];(0.658,2.84];(0.529,3.4];(-2.17,-0.717];(-1.73,-0.731];(-2.33,-0.72];(-2.7,-0.657];(-0.65,0.106];geneva;15,628586;6,731;0,559853259;0,174;0;0,121;0,125;0,754;0,279;6;0;569,88;183,62;25,22;0;0;778,72;0;G-E
60;2497973,99;1118639,101;2498223,99;1118389,101;9;2;1349;-0,160018862;0,630050261;0,253252034;0,670283831;-0,473329195;0,417207115;E;geneva;1,155027566;(0.312,1.48];0,389770821;-0,056293777;0,018769258;0,154770465;-0,044234791;-0,582769232;0,234162011;0,532268462;(-0.0567,0.716];(-0.611,-0.0457];(-0.31,0.529];(-0.162,0.673];(-0.152,0.689];(-0.72,-0.0796];(0.0621,0.737];(0.106,0.611];geneva;14,36507163;7,814;0,644070859;0,167;0;0,547;0,122;0,331;0,23;9;318,86;233,19;209;360,33;486,672381;0;634,707619;0;S-C
61;2497973,99;1118389,101;2498223,99;1118139,101;10;2;1350;-0,975034472;-0,778022374;0,320059996;-0,303703805;-0,881245071;1,867922411;G;geneva;2,452837632;(2,2.66];0,734680106;-1,88247289;-0,909398215;-0,18112321;-0,312807022;-0,47999496;-0,415247462;-0,219332967;(0.716,2.72];(-2.51,-0.611];(-1.71,-0.722];(-0.717,-0.162];(-0.731,-0.152];(-0.72,-0.0796];(-0.657,0.0621];(-0.65,0.106];geneva;17,42960711;9,107;0,725606595;0,048;0;0,606;0,119;0,275;0,288;7;186,29;156,81;574,29;159,74;0;0;1077,13;919,689;S-C
62;2497973,99;1118139,101;2498223,99;1117889,101;11;2;1351;-0,366686972;0,686302113;-0,559715793;0,926587179;0,487430016;0,89130292;E;geneva;1,676103938;(1.48,2];0,264073419;0,944648722;0,327965737;-0,954348711;-0,864439324;-1,314442227;-0,845868925;-0,621886728;(-0.0567,0.716];(0.658,2.84];(-0.31,0.529];(-2.17,-0.717];(-1.73,-0.731];(-2.33,-0.72];(-2.7,-0.657];(-0.65,0.106];geneva;17,13750811;8,789;0,560153433;0,214;0;0,366;0,161;0,473;0,284;5;300,87;242,14;181,51;533,54;687,287551;0;570,772449;0;G-E
63;2497973,99;1117889,101;2498223,99;1117639,101;12;2;1352;0,332170186;0,492554694;-0,338230903;0,740219726;-0,091054658;-0,658309184;I;geneva;1,207035409;(0.312,1.48];0,910707698;0,458569222;0,083738696;-0,342533754;-0,292835867;-0,398757501;-0,339102088;-0,261834566;(0.716,2.72];(-0.0457,0.658];(-0.31,0.529];(-0.717,-0.162];(-0.731,-0.152];(-0.72,-0.0796];(-0.657,0.0621];(-0.65,0.106];geneva;6,501764537;2,224;0,665559391;0,023;0;0,173;0,045;0,782;0,127;1;198,57;0;0;169,87;0;0;368,44;0;S-D
